Year,Search_Topic_ID,Search_Topic,KW,TI,TS
1000,6,Ionic Liquids (All),0,0,1
1000,7,ILs in Electrochemistry,0,0,1
1000,8,ILs in Electrochemical Manufacturing,0,0,1
1800,0,Electrochemistry,0,0,29
1800,1,Electrochemical Manufacturing,0,0,13
1800,2,Temperature in Electrochemistry,0,0,3
1800,3,Temperature in Electrochemical Manufacturing,0,0,2
1800,6,Ionic Liquids (All),0,0,6
1825,0,Electrochemistry,2,0,0
1900,0,Electrochemistry,4,4,11
1900,1,Electrochemical Manufacturing,0,0,1
1900,2,Temperature in Electrochemistry,0,0,1
1900,3,Temperature in Electrochemical Manufacturing,0,0,1
1900,4,Elevated-Temperature in Electrochemistry,0,0,1
1900,5,Elevated-Temperature Electrochemical Manufacturing,0,0,1
1900,6,Ionic Liquids (All),0,0,1
1901,0,Electrochemistry,22,22,24
1901,6,Ionic Liquids (All),0,0,1
1902,0,Electrochemistry,14,14,14
1902,6,Ionic Liquids (All),0,0,1
1903,0,Electrochemistry,17,17,18
1903,1,Electrochemical Manufacturing,1,1,1
1904,0,Electrochemistry,10,10,10
1904,6,Ionic Liquids (All),0,0,1
1905,0,Electrochemistry,4,4,15
1905,1,Electrochemical Manufacturing,0,0,4
1905,2,Temperature in Electrochemistry,0,0,3
1905,3,Temperature in Electrochemical Manufacturing,0,0,1
1905,6,Ionic Liquids (All),0,0,2
1906,0,Electrochemistry,12,12,13
1907,0,Electrochemistry,5,5,6
1908,0,Electrochemistry,13,13,13
1908,2,Temperature in Electrochemistry,1,1,1
1909,0,Electrochemistry,14,14,14
1910,0,Electrochemistry,18,18,18
1911,0,Electrochemistry,16,16,16
1912,0,Electrochemistry,15,15,17
1912,2,Temperature in Electrochemistry,1,1,1
1913,0,Electrochemistry,12,12,13
1913,6,Ionic Liquids (All),0,0,1
1914,0,Electrochemistry,5,5,6
1915,0,Electrochemistry,2,2,2
1915,1,Electrochemical Manufacturing,1,1,1
1916,0,Electrochemistry,3,3,3
1917,0,Electrochemistry,1,1,2
1917,6,Ionic Liquids (All),0,0,1
1918,0,Electrochemistry,3,3,3
1918,1,Electrochemical Manufacturing,1,1,1
1918,6,Ionic Liquids (All),0,0,2
1919,0,Electrochemistry,9,9,10
1920,0,Electrochemistry,11,11,12
1920,2,Temperature in Electrochemistry,0,0,1
1921,0,Electrochemistry,7,7,8
1922,0,Electrochemistry,15,15,16
1922,6,Ionic Liquids (All),0,0,1
1923,0,Electrochemistry,9,9,9
1924,0,Electrochemistry,12,12,14
1924,6,Ionic Liquids (All),0,0,2
1925,0,Electrochemistry,10,10,12
1925,1,Electrochemical Manufacturing,1,1,1
1925,6,Ionic Liquids (All),0,0,1
1926,0,Electrochemistry,17,17,23
1926,6,Ionic Liquids (All),0,0,4
1927,0,Electrochemistry,12,12,22
1927,6,Ionic Liquids (All),0,0,4
1928,0,Electrochemistry,22,22,30
1928,6,Ionic Liquids (All),0,0,2
1929,0,Electrochemistry,13,13,17
1929,2,Temperature in Electrochemistry,1,1,1
1929,6,Ionic Liquids (All),0,0,1
1930,0,Electrochemistry,21,21,25
1931,0,Electrochemistry,17,17,22
1931,2,Temperature in Electrochemistry,0,0,1
1931,6,Ionic Liquids (All),0,0,3
1932,0,Electrochemistry,15,15,23
1932,2,Temperature in Electrochemistry,1,1,1
1932,6,Ionic Liquids (All),0,0,2
1933,0,Electrochemistry,15,15,20
1933,6,Ionic Liquids (All),0,0,1
1934,0,Electrochemistry,18,18,22
1934,6,Ionic Liquids (All),0,0,1
1935,0,Electrochemistry,28,28,36
1935,6,Ionic Liquids (All),0,0,1
1936,0,Electrochemistry,20,20,26
1936,1,Electrochemical Manufacturing,1,1,1
1936,6,Ionic Liquids (All),0,0,3
1937,0,Electrochemistry,20,20,22
1937,6,Ionic Liquids (All),0,0,1
1938,0,Electrochemistry,17,17,22
1938,6,Ionic Liquids (All),0,0,1
1939,0,Electrochemistry,8,8,18
1939,2,Temperature in Electrochemistry,0,0,1
1939,6,Ionic Liquids (All),0,0,1
1940,0,Electrochemistry,11,11,23
1940,1,Electrochemical Manufacturing,1,1,1
1940,6,Ionic Liquids (All),0,0,2
1941,0,Electrochemistry,7,7,13
1941,1,Electrochemical Manufacturing,0,0,1
1941,6,Ionic Liquids (All),0,0,3
1942,0,Electrochemistry,10,10,20
1942,6,Ionic Liquids (All),0,0,4
1943,0,Electrochemistry,7,7,17
1943,6,Ionic Liquids (All),0,0,4
1944,0,Electrochemistry,9,9,19
1944,6,Ionic Liquids (All),0,0,2
1945,0,Electrochemistry,8,8,13
1945,1,Electrochemical Manufacturing,2,2,2
1945,6,Ionic Liquids (All),0,0,1
1946,0,Electrochemistry,13,13,22
1946,1,Electrochemical Manufacturing,1,1,1
1946,2,Temperature in Electrochemistry,0,0,1
1946,6,Ionic Liquids (All),0,0,4
1947,0,Electrochemistry,14,14,31
1947,1,Electrochemical Manufacturing,1,1,1
1947,6,Ionic Liquids (All),0,0,3
1948,0,Electrochemistry,15,15,23
1948,1,Electrochemical Manufacturing,0,0,1
1948,6,Ionic Liquids (All),0,0,2
1949,0,Electrochemistry,22,22,31
1949,2,Temperature in Electrochemistry,1,1,2
1949,6,Ionic Liquids (All),0,0,9
1950,0,Electrochemistry,18,18,34
1950,1,Electrochemical Manufacturing,0,0,1
1950,2,Temperature in Electrochemistry,0,0,1
1950,6,Ionic Liquids (All),0,0,5
1951,0,Electrochemistry,26,26,46
1951,1,Electrochemical Manufacturing,0,0,1
1951,6,Ionic Liquids (All),0,0,5
1952,0,Electrochemistry,38,38,63
1952,2,Temperature in Electrochemistry,2,2,3
1952,4,Elevated-Temperature in Electrochemistry,1,1,1
1952,6,Ionic Liquids (All),0,0,6
1953,0,Electrochemistry,45,45,64
1953,1,Electrochemical Manufacturing,0,0,1
1953,2,Temperature in Electrochemistry,0,0,1
1953,6,Ionic Liquids (All),0,0,7
1954,0,Electrochemistry,19,19,48
1954,1,Electrochemical Manufacturing,0,0,1
1954,2,Temperature in Electrochemistry,1,1,2
1954,6,Ionic Liquids (All),0,0,13
1955,0,Electrochemistry,33,33,59
1955,2,Temperature in Electrochemistry,0,0,3
1955,6,Ionic Liquids (All),0,0,9
1955,7,ILs in Electrochemistry,0,0,1
1956,0,Electrochemistry,36,36,63
1956,1,Electrochemical Manufacturing,0,0,1
1956,2,Temperature in Electrochemistry,0,0,1
1956,6,Ionic Liquids (All),0,0,14
1956,7,ILs in Electrochemistry,0,0,1
1956,8,ILs in Electrochemical Manufacturing,0,0,1
1957,0,Electrochemistry,59,59,97
1957,1,Electrochemical Manufacturing,0,0,2
1957,2,Temperature in Electrochemistry,0,0,2
1957,6,Ionic Liquids (All),0,0,10
1958,0,Electrochemistry,59,59,105
1958,2,Temperature in Electrochemistry,2,2,5
1958,6,Ionic Liquids (All),0,0,9
1959,0,Electrochemistry,58,58,101
1959,1,Electrochemical Manufacturing,1,1,2
1959,2,Temperature in Electrochemistry,2,2,5
1959,6,Ionic Liquids (All),0,0,8
1960,0,Electrochemistry,69,69,120
1960,1,Electrochemical Manufacturing,1,1,1
1960,2,Temperature in Electrochemistry,1,1,3
1960,6,Ionic Liquids (All),0,0,16
1961,0,Electrochemistry,88,88,138
1961,1,Electrochemical Manufacturing,3,3,4
1961,2,Temperature in Electrochemistry,6,6,13
1961,3,Temperature in Electrochemical Manufacturing,0,0,1
1961,4,Elevated-Temperature in Electrochemistry,1,1,2
1961,6,Ionic Liquids (All),0,0,20
1962,0,Electrochemistry,91,91,131
1962,1,Electrochemical Manufacturing,1,1,1
1962,2,Temperature in Electrochemistry,1,1,3
1962,4,Elevated-Temperature in Electrochemistry,1,1,2
1962,6,Ionic Liquids (All),0,0,16
1963,0,Electrochemistry,110,110,171
1963,1,Electrochemical Manufacturing,1,1,2
1963,2,Temperature in Electrochemistry,1,1,3
1963,6,Ionic Liquids (All),0,0,11
1964,0,Electrochemistry,144,144,228
1964,1,Electrochemical Manufacturing,3,3,6
1964,2,Temperature in Electrochemistry,2,2,8
1964,3,Temperature in Electrochemical Manufacturing,0,0,1
1964,6,Ionic Liquids (All),0,0,20
1965,0,Electrochemistry,140,140,253
1965,1,Electrochemical Manufacturing,5,5,7
1965,2,Temperature in Electrochemistry,3,3,11
1965,4,Elevated-Temperature in Electrochemistry,0,0,1
1965,6,Ionic Liquids (All),0,0,23
1966,0,Electrochemistry,237,237,405
1966,1,Electrochemical Manufacturing,2,2,6
1966,2,Temperature in Electrochemistry,5,5,20
1966,4,Elevated-Temperature in Electrochemistry,1,1,3
1966,6,Ionic Liquids (All),0,0,55
1967,0,Electrochemistry,270,270,502
1967,1,Electrochemical Manufacturing,5,5,10
1967,2,Temperature in Electrochemistry,5,5,16
1967,4,Elevated-Temperature in Electrochemistry,2,2,4
1967,6,Ionic Liquids (All),0,0,55
1968,0,Electrochemistry,384,384,828
1968,1,Electrochemical Manufacturing,5,5,42
1968,2,Temperature in Electrochemistry,6,6,45
1968,3,Temperature in Electrochemical Manufacturing,0,0,3
1968,4,Elevated-Temperature in Electrochemistry,1,1,3
1968,6,Ionic Liquids (All),0,0,124
1968,7,ILs in Electrochemistry,0,0,7
1968,8,ILs in Electrochemical Manufacturing,0,0,1
1969,0,Electrochemistry,438,438,796
1969,1,Electrochemical Manufacturing,6,6,62
1969,2,Temperature in Electrochemistry,7,7,56
1969,3,Temperature in Electrochemical Manufacturing,0,0,6
1969,4,Elevated-Temperature in Electrochemistry,4,4,6
1969,5,Elevated-Temperature Electrochemical Manufacturing,0,0,1
1969,6,Ionic Liquids (All),0,0,88
1969,7,ILs in Electrochemistry,0,0,5
1970,0,Electrochemistry,467,467,1249
1970,1,Electrochemical Manufacturing,15,15,104
1970,2,Temperature in Electrochemistry,7,7,90
1970,3,Temperature in Electrochemical Manufacturing,0,0,10
1970,4,Elevated-Temperature in Electrochemistry,2,2,8
1970,5,Elevated-Temperature Electrochemical Manufacturing,0,0,2
1970,6,Ionic Liquids (All),0,0,135
1970,7,ILs in Electrochemistry,0,0,10
1971,0,Electrochemistry,547,546,1353
1971,1,Electrochemical Manufacturing,10,10,110
1971,2,Temperature in Electrochemistry,5,5,83
1971,3,Temperature in Electrochemical Manufacturing,0,0,19
1971,4,Elevated-Temperature in Electrochemistry,2,2,6
1971,5,Elevated-Temperature Electrochemical Manufacturing,0,0,2
1971,6,Ionic Liquids (All),0,0,144
1971,7,ILs in Electrochemistry,0,0,4
1971,8,ILs in Electrochemical Manufacturing,0,0,1
1972,0,Electrochemistry,562,562,1393
1972,1,Electrochemical Manufacturing,18,18,116
1972,2,Temperature in Electrochemistry,8,8,87
1972,3,Temperature in Electrochemical Manufacturing,0,0,19
1972,4,Elevated-Temperature in Electrochemistry,0,0,8
1972,5,Elevated-Temperature Electrochemical Manufacturing,0,0,3
1972,6,Ionic Liquids (All),0,0,192
1972,7,ILs in Electrochemistry,0,0,10
1972,8,ILs in Electrochemical Manufacturing,0,0,2
1973,0,Electrochemistry,644,644,1667
1973,1,Electrochemical Manufacturing,13,13,155
1973,2,Temperature in Electrochemistry,8,8,107
1973,3,Temperature in Electrochemical Manufacturing,0,0,22
1973,4,Elevated-Temperature in Electrochemistry,2,2,12
1973,5,Elevated-Temperature Electrochemical Manufacturing,0,0,6
1973,6,Ionic Liquids (All),0,0,237
1973,7,ILs in Electrochemistry,0,0,17
1974,0,Electrochemistry,583,583,1562
1974,1,Electrochemical Manufacturing,15,15,150
1974,2,Temperature in Electrochemistry,8,8,99
1974,3,Temperature in Electrochemical Manufacturing,0,0,18
1974,4,Elevated-Temperature in Electrochemistry,3,3,13
1974,5,Elevated-Temperature Electrochemical Manufacturing,0,0,2
1974,6,Ionic Liquids (All),0,0,255
1974,7,ILs in Electrochemistry,0,0,14
1975,0,Electrochemistry,754,753,1898
1975,1,Electrochemical Manufacturing,21,21,172
1975,2,Temperature in Electrochemistry,13,13,120
1975,3,Temperature in Electrochemical Manufacturing,0,0,19
1975,4,Elevated-Temperature in Electrochemistry,1,1,7
1975,6,Ionic Liquids (All),0,0,287
1975,7,ILs in Electrochemistry,0,0,18
1975,8,ILs in Electrochemical Manufacturing,0,0,1
1976,0,Electrochemistry,729,729,2079
1976,1,Electrochemical Manufacturing,39,39,216
1976,2,Temperature in Electrochemistry,7,7,164
1976,3,Temperature in Electrochemical Manufacturing,0,0,29
1976,4,Elevated-Temperature in Electrochemistry,2,2,16
1976,5,Elevated-Temperature Electrochemical Manufacturing,0,0,4
1976,6,Ionic Liquids (All),0,0,274
1976,7,ILs in Electrochemistry,0,0,17
1976,8,ILs in Electrochemical Manufacturing,0,0,2
1977,0,Electrochemistry,900,894,2560
1977,1,Electrochemical Manufacturing,30,30,292
1977,2,Temperature in Electrochemistry,16,15,193
1977,3,Temperature in Electrochemical Manufacturing,0,0,31
1977,4,Elevated-Temperature in Electrochemistry,4,4,18
1977,5,Elevated-Temperature Electrochemical Manufacturing,0,0,2
1977,6,Ionic Liquids (All),0,0,230
1977,7,ILs in Electrochemistry,0,0,28
1978,0,Electrochemistry,980,979,2702
1978,1,Electrochemical Manufacturing,43,43,338
1978,2,Temperature in Electrochemistry,14,14,185
1978,3,Temperature in Electrochemical Manufacturing,0,0,38
1978,4,Elevated-Temperature in Electrochemistry,3,3,18
1978,5,Elevated-Temperature Electrochemical Manufacturing,0,0,2
1978,6,Ionic Liquids (All),0,0,248
1978,7,ILs in Electrochemistry,0,0,29
1978,8,ILs in Electrochemical Manufacturing,0,0,3
1979,0,Electrochemistry,1025,1025,2674
1979,1,Electrochemical Manufacturing,51,51,346
1979,2,Temperature in Electrochemistry,20,20,194
1979,3,Temperature in Electrochemical Manufacturing,0,0,34
1979,4,Elevated-Temperature in Electrochemistry,4,4,24
1979,5,Elevated-Temperature Electrochemical Manufacturing,0,0,2
1979,6,Ionic Liquids (All),0,0,241
1979,7,ILs in Electrochemistry,0,0,27
1980,0,Electrochemistry,1156,1156,3025
1980,1,Electrochemical Manufacturing,48,48,394
1980,2,Temperature in Electrochemistry,18,18,203
1980,3,Temperature in Electrochemical Manufacturing,0,0,39
1980,4,Elevated-Temperature in Electrochemistry,2,2,22
1980,5,Elevated-Temperature Electrochemical Manufacturing,0,0,7
1980,6,Ionic Liquids (All),0,0,283
1980,7,ILs in Electrochemistry,0,0,25
1980,8,ILs in Electrochemical Manufacturing,0,0,3
1981,0,Electrochemistry,1197,1197,3199
1981,1,Electrochemical Manufacturing,62,62,468
1981,2,Temperature in Electrochemistry,15,15,277
1981,3,Temperature in Electrochemical Manufacturing,0,0,80
1981,4,Elevated-Temperature in Electrochemistry,2,2,35
1981,5,Elevated-Temperature Electrochemical Manufacturing,0,0,12
1981,6,Ionic Liquids (All),0,0,358
1981,7,ILs in Electrochemistry,0,0,28
1981,8,ILs in Electrochemical Manufacturing,0,0,4
1982,0,Electrochemistry,1461,1461,3571
1982,1,Electrochemical Manufacturing,62,62,487
1982,2,Temperature in Electrochemistry,15,15,272
1982,3,Temperature in Electrochemical Manufacturing,1,1,65
1982,4,Elevated-Temperature in Electrochemistry,2,2,31
1982,5,Elevated-Temperature Electrochemical Manufacturing,0,0,12
1982,6,Ionic Liquids (All),0,0,311
1982,7,ILs in Electrochemistry,0,0,17
1982,8,ILs in Electrochemical Manufacturing,0,0,1
1983,0,Electrochemistry,1572,1572,3801
1983,1,Electrochemical Manufacturing,76,76,537
1983,2,Temperature in Electrochemistry,31,31,298
1983,3,Temperature in Electrochemical Manufacturing,0,0,78
1983,4,Elevated-Temperature in Electrochemistry,4,4,30
1983,5,Elevated-Temperature Electrochemical Manufacturing,0,0,8
1983,6,Ionic Liquids (All),0,0,432
1983,7,ILs in Electrochemistry,0,0,32
1983,8,ILs in Electrochemical Manufacturing,0,0,5
1984,0,Electrochemistry,1567,1567,4016
1984,1,Electrochemical Manufacturing,68,68,505
1984,2,Temperature in Electrochemistry,22,22,284
1984,3,Temperature in Electrochemical Manufacturing,0,0,53
1984,4,Elevated-Temperature in Electrochemistry,7,7,28
1984,5,Elevated-Temperature Electrochemical Manufacturing,0,0,2
1984,6,Ionic Liquids (All),0,0,414
1984,7,ILs in Electrochemistry,0,0,36
1984,8,ILs in Electrochemical Manufacturing,0,0,8
1985,0,Electrochemistry,1497,1497,4333
1985,1,Electrochemical Manufacturing,89,89,612
1985,2,Temperature in Electrochemistry,20,20,339
1985,3,Temperature in Electrochemical Manufacturing,3,3,70
1985,4,Elevated-Temperature in Electrochemistry,5,5,35
1985,5,Elevated-Temperature Electrochemical Manufacturing,1,1,3
1985,6,Ionic Liquids (All),0,0,419
1985,7,ILs in Electrochemistry,0,0,22
1985,8,ILs in Electrochemical Manufacturing,0,0,1
1986,0,Electrochemistry,1634,1632,4518
1986,1,Electrochemical Manufacturing,78,78,569
1986,2,Temperature in Electrochemistry,26,26,329
1986,3,Temperature in Electrochemical Manufacturing,1,1,62
1986,4,Elevated-Temperature in Electrochemistry,2,2,33
1986,5,Elevated-Temperature Electrochemical Manufacturing,0,0,8
1986,6,Ionic Liquids (All),0,0,447
1986,7,ILs in Electrochemistry,0,0,38
1986,8,ILs in Electrochemical Manufacturing,0,0,6
1986,9,Elevated-T IL Electrochemical Manufacturing,0,0,1
1987,0,Electrochemistry,1871,1871,5137
1987,1,Electrochemical Manufacturing,109,109,656
1987,2,Temperature in Electrochemistry,30,30,388
1987,3,Temperature in Electrochemical Manufacturing,0,0,77
1987,4,Elevated-Temperature in Electrochemistry,4,4,32
1987,5,Elevated-Temperature Electrochemical Manufacturing,0,0,7
1987,6,Ionic Liquids (All),0,0,517
1987,7,ILs in Electrochemistry,0,0,37
1987,8,ILs in Electrochemical Manufacturing,0,0,3
1988,0,Electrochemistry,1742,1742,5060
1988,1,Electrochemical Manufacturing,111,111,715
1988,2,Temperature in Electrochemistry,39,39,442
1988,3,Temperature in Electrochemical Manufacturing,3,3,99
1988,4,Elevated-Temperature in Electrochemistry,8,8,60
1988,5,Elevated-Temperature Electrochemical Manufacturing,2,2,18
1988,6,Ionic Liquids (All),0,0,534
1988,7,ILs in Electrochemistry,0,0,53
1988,8,ILs in Electrochemical Manufacturing,0,0,3
1989,0,Electrochemistry,1684,1677,5214
1989,1,Electrochemical Manufacturing,108,106,790
1989,2,Temperature in Electrochemistry,32,31,521
1989,3,Temperature in Electrochemical Manufacturing,2,2,128
1989,4,Elevated-Temperature in Electrochemistry,6,5,68
1989,5,Elevated-Temperature Electrochemical Manufacturing,1,1,18
1989,6,Ionic Liquids (All),0,0,499
1989,7,ILs in Electrochemistry,0,0,30
1989,8,ILs in Electrochemical Manufacturing,0,0,7
1990,0,Electrochemistry,1969,1890,6021
1990,1,Electrochemical Manufacturing,150,142,1014
1990,2,Temperature in Electrochemistry,38,28,609
1990,3,Temperature in Electrochemical Manufacturing,2,1,143
1990,4,Elevated-Temperature in Electrochemistry,7,6,86
1990,5,Elevated-Temperature Electrochemical Manufacturing,0,0,19
1990,6,Ionic Liquids (All),0,0,551
1990,7,ILs in Electrochemistry,0,0,49
1990,8,ILs in Electrochemical Manufacturing,0,0,4
1990,9,Elevated-T IL Electrochemical Manufacturing,0,0,1
1991,0,Electrochemistry,3003,1921,7435
1991,1,Electrochemical Manufacturing,227,131,1178
1991,2,Temperature in Electrochemistry,74,28,875
1991,3,Temperature in Electrochemical Manufacturing,5,3,194
1991,4,Elevated-Temperature in Electrochemistry,11,6,126
1991,5,Elevated-Temperature Electrochemical Manufacturing,3,3,30
1991,6,Ionic Liquids (All),0,0,783
1991,7,ILs in Electrochemistry,0,0,54
1991,8,ILs in Electrochemical Manufacturing,0,0,8
